Class,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Result
T197,2200.886554,1894.678752,1430.985166,1208.850603,1116.232699,922.9311893,1018.808105,861.3260332,927.9488995,888.2866285,122.4452979,117.9493498,105.8885554,106.0405281,98.29865247,97.08280733,90.4980383,84.75967152,81.1344198,78.79885323,N
T198,3512.407978,2521.46712,2205.193389,1873.206247,1991.851509,1940.970465,1661.513743,1437.045663,1393.837039,1162.279929,149.9662906,138.2487104,132.3642101,123.7661786,116.4588748,110.6118142,106.1865948,100.2001014,95.03157196,87.83421637,N
T199,5206.363301,3907.610105,3249.145245,3155.691356,2999.966331,2732.602519,2469.330233,2058.620592,1918.936514,1578.789945,195.8671779,169.3525427,142.4675625,132.6719543,126.0399272,120.8378982,111.8183145,105.4785302,100.951233,94.55345521,N
T200,2122.562709,1795.611174,1856.089021,1711.387889,1897.252534,1909.636675,1610.890987,1309.192936,1377.200461,1151.132961,160.0505227,156.0047423,142.9252098,185.2424622,143.3152528,114.5345851,120.4940918,97.48178963,92.74697336,86.83038521,N
T201,7851.193617,7720.501477,5916.679833,6281.604759,6381.161995,6807.75095,5784.144882,4922.784752,5469.477224,3791.686397,337.3246401,366.5980467,285.5244634,284.6733916,273.8493128,254.4393399,244.9236147,220.6027012,224.1540751,233.0640925,N
T202,13557.44545,12215.71891,10637.93293,10627.93142,10827.25116,9351.135223,9578.67587,7216.405283,5997.272587,5907.718384,762.3871792,690.1472303,647.4035107,684.3742357,547.8012079,514.5597779,482.7853439,487.2078471,453.4673742,431.3001694,N
T203,11439.32995,8209.338159,7249.917011,9427.922156,10984.15831,10658.29718,9587.332447,7232.071216,6180.919425,5269.025847,593.9371547,507.5312976,485.1855984,449.4625525,425.4212141,430.4602652,385.431004,338.2056706,348.0042999,297.5466991,N
T204,27600.80381,19401.48186,16953.00707,17258.78615,17314.70206,15209.78755,15313.45614,13858.87609,12090.88251,11047.53756,1263.246925,1192.624191,1114.606132,1223.834661,1069.996173,987.6393017,952.3661584,887.2444799,905.9872656,770.177562,N
T205,18161.56919,14644.00264,13022.59389,12716.33921,12619.7932,9851.87894,8918.515559,8272.09871,7329.726557,7119.926184,984.0939271,905.2078637,868.5139719,896.492813,764.8720591,851.0037403,726.2685158,732.1980847,660.920526,577.0259798,N
T206,13399.07482,10675.05164,10012.40134,9267.891551,9222.471201,8559.978984,7543.032251,6772.462946,6130.114651,5727.995092,574.5602364,570.656822,580.0542286,612.5854154,471.3267239,408.0645388,371.646132,350.1747474,337.0461805,330.4280047,N
