Spectrum Analyzer Data File				
2015/4/14 18:23				
				
Frequency (Hz)	Average Amplitude	Max Amplitude		
1631.140137	184.23679	263.10806		
1633.831787	275.44177	431.11502		
1636.523438	174.46684	212.64928		
1639.215088	347.75677	586.0967		
1641.906738	97.05841	174.0638		
1644.598389	223.13402	390.69165		
1647.290039	202.01965	344.75168		
1649.98169	268.27347	365.44418		
1652.67334	167.89333	230.673		
1655.36499	211.34976	364.91156		
1658.056641	188.42105	305.67273		
1660.748291	242.34447	349.38565		
1663.439941	115.91674	147.78476		
1666.131592	281.8151	444.0631		
1668.823242	213.997	488.91803		
1671.514893	279.69894	433.60284		
1674.206543	189.54482	315.28696		
1676.898193	140.39395	286.93445		
1679.589844	146.22537	277.41208		
1682.281494	117.08168	172.45518		
1684.973145	231.70267	322.68527		
1687.664795	172.81497	275.41196		
1690.356445	204.75598	223.94737		
1693.048096	172.44336	244.11783		
1695.739746	291.045	496.78772		
1698.431397	46.90621	85.14933		
1701.123047	155.93636	206.085		
1703.814697	250.48485	425.11557		
1706.506348	172.35669	300.70862		
1709.197998	262.20178	438.62112		
1711.889648	205.06432	333.87796		
1714.581299	192.30643	440.26132		
1717.272949	192.09344	266.9597		
1719.9646	179.23666	331.28558		
1722.65625	219.86194	319.6795		
1725.3479	148.78769	213.52486		
1728.039551	222.35242	415.897		
1730.731201	175.61855	277.2786		
1733.422852	214.5996	316.92532		
1736.114502	215.71167	304.97186		
1738.806152	160.433	234.36006		
1741.497803	145.68973	239.32921		
1744.189453	198.84573	351.23132		
1746.881104	170.99625	257.25342		
1749.572754	101.164795	158.68196		
1752.264404	243.04866	398.8284		
1754.956055	214.14178	278.83072		
1757.647705	157.17326	325.23532		
1760.339356	212.8018	368.66803		
1763.031006	156.65057	381.01602		
1765.722656	112.42598	199.93127		
1768.414307	173.41154	273.27676		
1771.105957	290.07187	452.93976		
1773.797607	173.95235	234.94698		
1776.489258	201.97952	227.57832		
1779.180908	206.13945	309.8304		
1781.872559	140.11679	204.84068		
1784.564209	168.99811	316.1652		
